State,Population,Cases,Case % of Pop.,Residents Per Case,sq mi,Cases / mi^2,Pop Density,Density / Case
U.S. Virgin Islands,"106,235",328,0.31%,324,732.93,0.4475188626,144.9456292,0.442
District of Columbia,"712,816",1912,0.27%,373,68.34,27.97775827,10430.43606,5.455
New Mexico,"2,106,319",5453,0.26%,386,"121,590.30",0.04484732746,17.32308416,0.003
Guam,"168,485",395,0.23%,427,570.62,0.6922295047,295.2665522,0.748
North Dakota,"765,309",1275,0.17%,600,"70,698.32",0.01803437479,10.82499556,0.008
Iowa,"3,163,561",4805,0.15%,658,"56,272.81",0.0853875966,56.2182873,0.012
Rhode Island,"1,057,125",1427,0.13%,741,"1,544.89",0.9236903598,684.2720194,0.480
South Dakota,"892,717",1198,0.13%,745,"77,115.68",0.01553510259,11.57633571,0.010
Nebraska,"1,937,552",2260,0.12%,857,"77,347.81",0.02921866825,25.04986243,0.011
Massachusetts,"6,893,574",7765,0.11%,888,"10,554.39",0.7357128171,653.1475528,0.084
West Virginia,"1,784,787",1929,0.11%,925,"24,230.04",0.07961191975,73.66009301,0.038
Pennsylvania,"12,783,254",13457,0.11%,950,"46,054.35",0.2921982397,277.5688724,0.021
Maryland,"6,055,802",6045,0.10%,1002,"12,405.93",0.4872669764,488.137689,0.081
Ohio,"11,693,217",11328,0.10%,1032,"44,825.58",0.2527128483,260.8603614,0.023
Nevada,"3,138,259",2918,0.09%,1075,"110,571.82",0.02639008746,28.38208686,0.010
Kansas,"2,913,805",2670,0.09%,1091,"82,278.36",0.03245081696,35.41398978,0.013
California,"39,368,078",35849,0.09%,1098,"163,696.32",0.2189969817,240.4945817,0.007
Hawaii,"1,407,006",1211,0.09%,1162,"10,931.72",0.1107785417,128.7085655,0.106
Virginia,"8,590,563",6920,0.08%,1241,"42,774.93",0.1617770035,200.8317255,0.029
Colorado,"5,807,719",4677,0.08%,1242,"104,093.67",0.04493068599,55.79320049,0.012
Montana,"1,080,577",865,0.08%,1249,"147,039.71",0.005882764595,7.348878748,0.008
New Jersey,"8,882,371",6746,0.08%,1317,"8,722.58",0.7733950276,1018.319236,0.151
Texas,"29,360,759",21805,0.07%,1347,"268,596.46",0.08118126352,109.3117869,0.005
Utah,"3,249,879",2411,0.07%,1348,"84,896.88",0.02839915907,38.28031136,0.016
Arizona,"7,421,401",5490,0.07%,1352,"113,990.30",0.04816199273,65.10554845,0.012
Indiana,"6,754,953",4705,0.07%,1436,"36,419.55",0.129188856,185.4760149,0.039
New York,"19,336,776",13315,0.07%,1452,"54,554.98",0.2440657113,354.445662,0.027
Delaware,"986,809",655,0.07%,1507,"2,488.72",0.263187502,396.5126651,0.605
Illinois,"12,587,530",8323,0.07%,1512,"57,913.55",0.1437142085,217.3503437,0.026
Mississippi,"2,966,786",1916,0.06%,1548,"48,431.78",0.03956080078,61.25700934,0.032
Tennessee,"6,886,834",4386,0.06%,1570,"42,144.25",0.1040711366,163.4109991,0.037
Maine,"1,350,141",816,0.06%,1655,"35,379.74",0.02306404739,38.16141668,0.047
Puerto Rico,"3,189,068",1922,0.06%,1659,"5,324.84",0.3609498126,598.9040046,0.312
Washington,"7,693,612",4621,0.06%,1665,"71,297.95",0.06481252266,107.9078992,0.023
Missouri,"6,151,548",3492,0.06%,1762,"69,706.99",0.0500954065,88.2486534,0.025
Arkansas,"3,030,522",1695,0.06%,1788,"53,178.55",0.03187375361,56.98767642,0.034
North Carolina,"10,600,823",5806,0.05%,1826,"53,819.16",0.107879796,196.9711716,0.034
Kentucky,"4,477,251",2297,0.05%,1949,"40,407.80",0.05684546053,110.8016522,0.048
New Hampshire,"1,366,275",636,0.05%,2148,"9,349.16",0.06802750194,146.1387975,0.230
Oklahoma,"3,980,783",1817,0.05%,2191,"69,898.87",0.02599469777,56.95060593,0.031
Vermont,"623,347",283,0.05%,2203,"9,616.36",0.02942901472,64.82151251,0.229
Connecticut,"3,557,006",1598,0.04%,2226,"5,543.41",0.2882702163,641.6638856,0.402
Alabama,"4,921,532",2144,0.04%,2295,"52,420.07",0.04090036507,93.88640649,0.044
Idaho,"1,826,913",754,0.04%,2423,"83,568.95",0.009022489812,21.8611458,0.029
Alaska,"731,158",291,0.04%,2513,"665,384.04",0.0004373414186,1.098851124,0.004
Louisiana,"4,645,318",1837,0.04%,2529,"52,378.13",0.03507188974,88.68812231,0.048
Northern Mariana Islands,"51,433",15,0.03%,3429,"1,975.57",0.007592745385,26.03451156,1.736
Wisconsin,"5,832,655",1448,0.02%,4028,"65,496.38",0.02210809208,89.05308965,0.062
South Carolina,"5,218,040",873,0.02%,5977,"32,020.49",0.02726379265,162.9594051,0.187
Michigan,"9,966,555",1654,0.02%,6026,"96,713.51",0.01710205741,103.0523554,0.062
Minnesota,"5,657,342",635,0.01%,8909,"86,935.83",0.00730423808,65.0749179,0.102
Wyoming,"582,328",59,0.01%,9870,"97,813.01",0.0006031917431,5.953482057,0.101
Florida,"21,733,312",2138,0.01%,10165,"65,757.70",0.03251330262,330.5059636,0.155
Georgia,"10,710,017",1005,0.01%,10657,"59,425.15",0.01691203135,180.2270083,0.179
Oregon,"4,241,507",371,0.01%,11433,"98,378.54",0.003771147651,43.11414868,0.116
